id;data_emprestimo;data_prevista_devolucao;data_devolucao;status
1;2025-11-18;2025-11-18;2025-11-18;EM_ANDAMENTO
2;2025-11-18;2025-11-18;2025-11-18;ATRASADO
3;2025-11-18;2025-11-18;2025-11-18;EM_ANDAMENTO
4;2025-11-18;2025-11-18;2025-11-18;ATRASADO
5;2025-11-18;2025-11-18;2025-11-18;EM_ANDAMENTO
6;2025-11-18;2025-11-18;2025-11-18;DEVOLVIDO
7;2025-11-18;2025-11-18;2025-11-18;EM_ANDAMENTO
8;2025-11-18;2025-11-18;2025-11-18;DEVOLVIDO
9;2025-11-18;2025-11-18;2025-11-18;ATRASADO
10;2025-11-18;2025-11-18;2025-11-18;DEVOLVIDO
