id;titulo;ano;genero;autor_artista;disponibilidade
1;disconnection putrid;8411;dally following;whose upon lovely;true
2;worth if;1825;astride or gah;bemuse;true
3;why;4868;boo happy;sense;false
4;zowie meh ew;9371;bouncy nervously;millet;false
5;hm finally;8034;but;wherever meanwhile programme;true
6;inasmuch yet alongside;15428;ouch coolly calmly;symbolise proliferate;false
7;poetry;29210;whether deserted tomb;jeopardise;false
8;which;9869;clamour furiously;silky presell;true
9;pear absent sustenance;25452;lest loftily zowie;lest modulo;true
10;toady puff;21186;nor yummy scoop;ugh subtract;true
